26,21,24,28,52,19,39,13,20,12,20,4,14,27,37,6,365,93,113,222,272
67,44,55,62,103,36,68,51,127,54,63,6,80,115,81,19,476,348,560,252,320
42,50,58,64,65,12,41,55,74,23,48,5,53,103,27,3,169,57,75,64,102
21,26,21,25,31,12,23,27,45,18,38,0,26,54,12,0,95,10,4,22,36
7,4,5,4,10,1,9,10,4,1,4,0,2,7,3,0,0,0,0,0,18
0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
20,14,20,22,27,14,13,19,36,12,31,0,27,37,21,4,128,17,21,29,45
2,1,3,0,1,2,1,2,4,7,11,0,11,7,10,0,50,0,0,0,0
6,4,8,7,8,1,6,10,5,7,4,0,4,6,7,0,15,22,13,6,20
77,59,64,84,128,26,65,80,91,53,48,4,79,112,60,4,239,33,118,35,70
5,4,3,5,8,2,5,6,6,5,7,0,4,5,5,0,21,9,10,1,4
34,17,28,29,45,2,29,27,35,15,21,1,35,47,17,9,241,185,181,118,45
37,33,37,52,70,15,46,33,60,44,38,5,26,41,69,15,428,73,98,59,198
63,45,55,42,109,15,63,49,76,28,43,1,53,110,48,4,253,50,58,84,85
10,21,24,20,30,6,12,29,21,5,14,1,21,39,3,0,47,1,2,2,22
21,21,14,33,39,12,26,21,54,14,27,1,21,39,27,0,129,35,24,0,0
34,18,18,16,55,5,40,31,23,14,26,0,15,39,30,1,180,17,27,44,41
